contract_id,customer_id,customer_segment,region,product,pricing_model,contract_start_date,contract_end_date,contract_tcv,base_mrr,seats_contracted,price_per_seat,usage_base_fee,overage_rate_per_unit,usage_tier_included,free_trial_months,has_impl_fee,impl_fee_amount,is_multi_element,bundle_contract_id,payment_terms,sales_commission_pct_new,sales_commission_pct_upgrade,ssp_amount,cohort_month,is_committed_term,expected_customer_life_months,renewal_type,modification_type,asc606_modification_treatment,modified_from_contract_id,termination_date,termination_type,termination_penalty_amount
CTR-0001,CUST-0001,SMB,EMEA,Core,per_seat_annual,2023-01-01,,102108.6,5672.7,99.0,57.3,,,,0,False,0.0,False,,monthly,0.1,0.05,5672.7,2023-01,False,18,,,,,,,
CTR-0002,CUST-0002,Mid-Market,North America,Core,per_seat_annual,2023-04-01,2024-04-01,120174.6,10014.55,91.0,110.05,,,,0,False,0.0,False,,annual_upfront,0.12,0.05,10014.55,2023-04,True,24,renewed,,,,,,
CTR-0003,CUST-0003,Enterprise,North America,Core,per_seat_annual,2024-03-01,2025-03-01,20944.44,1745.37,9.0,193.93,,,,0,False,0.0,False,,annual_quarterly,0.15,0.05,1745.37,2024-03,True,36,churned_at_renewal,,,,,,
CTR-0004,CUST-0004,SMB,North America,Core,per_seat_annual,2023-01-01,2024-01-01,52932.48,4411.04,76.0,58.04,,,,0,True,16947.34,False,,annual_upfront,0.1,0.05,4411.04,2023-01,True,18,renewed,,,,,,
CTR-0005,CUST-0005,Mid-Market,EMEA,Core,per_seat_annual,2023-08-01,,172593.12,7191.38,62.0,115.99,,,,0,True,20616.9,False,,monthly,0.12,0.05,7191.38,2023-08,False,24,,,,,,,
CTR-0006,CUST-0006,Enterprise,North America,Core,per_seat_annual,2023-06-01,2024-06-01,183243.6,15270.3,94.0,162.45,,,,0,True,8391.04,False,,annual_upfront,0.15,0.05,15270.3,2023-06,True,36,renewed,,,,,,
CTR-0007,CUST-0007,SMB,LATAM,Core,per_seat_annual,2023-12-01,2024-12-01,15016.32,1251.36,18.0,69.52,,,,0,True,4224.48,False,,annual_upfront,0.1,0.05,1251.36,2023-12,True,18,,,,,2024-08-01,early_with_penalty,2762.32
CTR-0008,CUST-0008,Mid-Market,APAC,Core,per_seat_annual,2023-05-01,,137147.04,5714.46,53.0,107.82,,,,0,False,0.0,False,,monthly,0.12,0.05,5714.46,2023-05,False,24,,,,,2023-12-01,early_with_refund,0.0
CTR-0009,CUST-0009,Enterprise,APAC,Core,per_seat_annual,2024-01-01,2025-01-01,148028.4,12335.7,78.0,158.15,,,,0,False,0.0,False,,annual_quarterly,0.15,0.05,12335.7,2024-01,True,36,,,,,2024-05-01,early_no_penalty,0.0
CTR-0010,CUST-0010,SMB,EMEA,Core,per_seat_annual,2023-10-01,2024-10-01,14729.4,1227.45,15.0,81.83,,,,0,False,0.0,False,,annual_quarterly,0.1,0.05,1227.45,2023-10,True,18,renewed,,,,,,
CTR-0011,CUST-0011,Mid-Market,APAC,Core,per_seat_annual,2024-01-01,2025-01-01,58584.0,4882.0,40.0,122.05,,,,0,False,0.0,False,,annual_upfront,0.12,0.05,4882.0,2024-01,True,24,,,,,,,
CTR-0012,CUST-0012,Enterprise,APAC,Core,per_seat_annual,2023-06-01,,337540.32,9376.12,52.0,180.31,,,,0,False,0.0,False,,monthly,0.15,0.05,9376.12,2023-06,False,36,,,,,,,
CTR-0013,CUST-0013,SMB,APAC,Analytics,flat_monthly,2023-03-01,,10178.64,565.48,,,,,,0,False,0.0,False,,monthly,0.1,0.05,565.48,2023-03,False,18,,,,,,,
CTR-0014,CUST-0014,Mid-Market,APAC,Analytics,flat_monthly,2023-06-01,2024-06-01,14965.92,1247.16,,,,,,0,False,0.0,False,,annual_upfront,0.12,0.05,1247.16,2023-06,True,24,churned_at_renewal,,,,,,
CTR-0015,CUST-0015,Enterprise,North America,Analytics,flat_monthly,2023-11-01,2024-11-01,53399.76,4449.98,,,,,,0,False,0.0,False,,annual_upfront,0.15,0.05,4449.98,2023-11,True,36,renewed,,,,,,
CTR-0016,CUST-0016,SMB,North America,Analytics,flat_monthly,2023-02-01,,12294.54,683.03,,,,,,2,False,0.0,False,,monthly,0.1,0.05,683.03,2023-04,False,18,,,,,,,
CTR-0017,CUST-0017,Mid-Market,North America,Analytics,flat_monthly,2023-08-01,2024-08-01,22540.68,1878.39,,,,,,0,False,0.0,False,,annual_quarterly,0.12,0.05,1878.39,2023-08,True,24,,product_switch,prospective,,,,
CTR-0018,CUST-0017,Mid-Market,North America,Core,per_seat_annual,2024-04-01,2025-04-01,29496.96,2458.08,18.0,136.56,,,,0,False,0.0,False,,monthly,0.12,0.05,2458.08,2024-04,True,24,,product_switch,prospective,CTR-0017,,,
CTR-0019,CUST-0018,Enterprise,North America,Analytics,flat_monthly,2024-04-01,2025-04-01,24000.6,2000.05,,,,,,0,False,0.0,False,,annual_upfront,0.15,0.05,2000.05,2024-04,True,36,,,,,,,
CTR-0020,CUST-0019,SMB,North America,Analytics,flat_monthly,2023-09-01,,11667.78,648.21,,,,,,0,False,0.0,False,,monthly,0.1,0.05,648.21,2023-09,False,18,,,,,,,
CTR-0021,CUST-0020,Mid-Market,EMEA,Analytics,flat_monthly,2024-01-01,,21769.2,907.05,,,,,,1,False,0.0,False,,monthly,0.12,0.05,907.05,2024-02,False,24,,,,,,,
CTR-0022,CUST-0021,SMB,North America,DataPipeline,usage_hybrid,2023-02-01,2024-02-01,16333.2,1361.1,,,1361.1,0.1188,1220.0,0,False,0.0,False,,annual_upfront,0.1,0.05,1361.1,2023-02,True,18,renewed,,,,,,
CTR-0023,CUST-0022,Mid-Market,EMEA,DataPipeline,usage_hybrid,2023-07-01,,35402.64,1475.11,,,1475.11,0.3931,2927.0,0,False,0.0,False,,monthly,0.12,0.05,1475.11,2023-07,False,24,,,,,,,
CTR-0024,CUST-0023,Enterprise,EMEA,DataPipeline,usage_hybrid,2023-06-01,2024-06-01,41132.4,3427.7,,,3427.7,0.4426,2404.0,0,False,0.0,False,,annual_quarterly,0.15,0.05,3427.7,2023-06,True,36,churned_at_renewal,,,,,,
CTR-0025,CUST-0024,SMB,EMEA,DataPipeline,usage_hybrid,2023-01-01,,10277.82,570.99,,,570.99,0.334,1530.0,0,False,0.0,False,,monthly,0.1,0.05,570.99,2023-01,False,18,,,,,2023-04-01,early_with_penalty,1552.68
CTR-0026,CUST-0025,Mid-Market,APAC,DataPipeline,usage_hybrid,2024-04-01,2025-04-01,19648.8,1637.4,,,1637.4,0.2628,2332.0,0,True,4169.49,False,,annual_upfront,0.12,0.05,1637.4,2024-04,True,24,,,,,,,
CTR-0027,CUST-0026,SMB,APAC,Core,per_seat_annual,2023-04-01,2024-04-01,28926.72,2410.56,36.0,66.96,,,,0,False,0.0,True,CTR-0028,annual_upfront,0.1,0.05,2780.89,2023-04,True,18,renewed,,,,,,
CTR-0028,CUST-0026,SMB,APAC,Analytics,flat_monthly,2023-04-01,2024-04-01,5437.56,453.13,,,,,,0,False,0.0,True,CTR-0027,annual_upfront,0.1,0.05,511.06,2023-04,True,18,renewed,,,,,,
CTR-0029,CUST-0027,Mid-Market,North America,Core,per_seat_annual,2023-03-01,,177773.52,7407.23,61.0,121.43,,,,0,False,0.0,True,CTR-0030,monthly,0.12,0.05,8781.99,2023-03,False,24,,,,,,,
CTR-0030,CUST-0027,Mid-Market,North America,Analytics,flat_monthly,2023-03-01,,17689.68,737.07,,,,,,0,False,0.0,True,CTR-0029,monthly,0.12,0.05,858.84,2023-03,False,24,,,,,,,
CTR-0031,CUST-0028,Enterprise,North America,Core,per_seat_annual,2023-04-01,2024-04-01,77179.2,6431.6,35.0,183.76,,,,0,True,6916.19,True,CTR-0032,annual_quarterly,0.15,0.05,7387.1,2023-04,True,36,renewed,,,,,,
CTR-0032,CUST-0028,Enterprise,North America,Analytics,flat_monthly,2023-04-01,2024-04-01,55902.6,4658.55,,,,,,0,False,0.0,True,CTR-0031,annual_quarterly,0.15,0.05,5201.1,2023-04,True,36,renewed,,,,,,
CTR-0033,CUST-0029,SMB,North America,Core,per_seat_annual,2024-02-01,2025-02-01,35080.08,2923.34,38.0,76.93,,,,0,False,0.0,True,CTR-0034,annual_upfront,0.1,0.05,3445.19,2024-02,True,18,churned_at_renewal,,,,,,
CTR-0034,CUST-0029,SMB,North America,Analytics,flat_monthly,2024-02-01,2025-02-01,4453.8,371.15,,,,,,2,False,0.0,True,CTR-0033,annual_upfront,0.1,0.05,434.12,2024-04,True,18,churned_at_renewal,,,,,,
CTR-0035,CUST-0030,Mid-Market,North America,Core,per_seat_annual,2023-10-01,2024-10-01,53153.28,4429.44,32.0,138.42,,,,0,False,0.0,True,CTR-0036,annual_upfront,0.12,0.05,5128.93,2023-10,True,24,renewed,,,,,,
CTR-0036,CUST-0030,Mid-Market,North America,Analytics,flat_monthly,2023-10-01,2024-10-01,16308.84,1359.07,,,,,,0,False,0.0,True,CTR-0035,annual_upfront,0.12,0.05,1596.63,2023-10,True,24,renewed,,,,,,
CTR-0037,CUST-0031,Enterprise,EMEA,Core,per_seat_annual,2024-05-01,,416430.72,11567.52,72.0,160.66,,,,0,False,0.0,True,CTR-0038,monthly,0.15,0.05,13835.65,2024-05,False,36,,,,,,,
CTR-0038,CUST-0031,Enterprise,EMEA,Analytics,flat_monthly,2024-05-01,,64094.04,1780.39,,,,,,0,False,0.0,True,CTR-0037,monthly,0.15,0.05,1991.51,2024-05,False,36,,,,,,,
CTR-0039,CUST-0032,SMB,EMEA,Core,per_seat_annual,2023-08-01,,61992.0,3444.0,56.0,61.5,,,,0,False,0.0,True,CTR-0040,monthly,0.1,0.05,4095.01,2023-08,False,18,,,,,2024-02-01,early_with_refund,0.0
CTR-0040,CUST-0032,SMB,EMEA,Analytics,flat_monthly,2023-08-01,,10020.78,556.71,,,,,,0,False,0.0,True,CTR-0039,monthly,0.1,0.05,646.86,2023-08,False,18,,,,,,,
CTR-0041,CUST-0033,Mid-Market,North America,Core,per_seat_annual,2023-11-01,2024-11-01,53215.2,4434.6,38.0,116.7,,,,0,False,0.0,True,CTR-0042,annual_quarterly,0.12,0.05,5195.66,2023-11,True,24,renewed,,,,,,
CTR-0042,CUST-0033,Mid-Market,North America,Analytics,flat_monthly,2023-11-01,2024-11-01,11662.32,971.86,,,,,,0,False,0.0,True,CTR-0041,annual_quarterly,0.12,0.05,1081.77,2023-11,True,24,renewed,,,,,,
CTR-0043,CUST-0034,Enterprise,EMEA,Core,per_seat_annual,2023-03-01,2024-03-01,15425.28,1285.44,6.0,214.24,,,,0,True,24910.22,True,CTR-0044,annual_upfront,0.15,0.05,1542.33,2023-03,True,36,renewed,,,,,,
CTR-0044,CUST-0034,Enterprise,EMEA,Analytics,flat_monthly,2023-03-01,2024-03-01,21076.92,1756.41,,,,,,0,False,0.0,True,CTR-0043,annual_upfront,0.15,0.05,1969.49,2023-03,True,36,renewed,,,,,,
CTR-0045,CUST-0035,SMB,North America,Core,per_seat_annual,2023-12-01,2024-12-01,12902.76,1075.23,13.0,82.71,,,,0,False,0.0,True,CTR-0046,annual_upfront,0.1,0.05,1222.49,2023-12,True,18,,,,,2024-05-01,early_with_penalty,2017.53
CTR-0046,CUST-0035,SMB,North America,Analytics,flat_monthly,2023-12-01,2024-12-01,7465.44,622.12,,,,,,0,False,0.0,True,CTR-0045,annual_upfront,0.1,0.05,722.39,2023-12,True,18,renewed,,,,,,
CTR-0047,CUST-0036,SMB,LATAM,Core,per_seat_annual,2023-01-01,,103372.2,5742.9,90.0,63.81,,,,0,False,0.0,False,,monthly,0.1,0.05,5742.9,2023-01,False,18,,,,,,,
CTR-0048,CUST-0037,SMB,North America,Analytics,flat_monthly,2023-04-01,2024-04-01,9160.32,763.36,,,,,,0,False,0.0,False,,annual_upfront,0.1,0.05,763.36,2023-04,True,18,renewed,,,,,,
CTR-0049,CUST-0038,Enterprise,North America,DataPipeline,usage_hybrid,2023-04-01,,202103.64,5613.99,,,5613.99,0.3841,1200.0,0,False,0.0,False,,monthly,0.15,0.05,5613.99,2023-04,False,36,,,,,,,
CTR-0050,CUST-0039,Mid-Market,EMEA,Core,per_seat_annual,2023-06-01,2024-06-01,87743.28,7311.94,74.0,98.81,,,,0,False,0.0,False,,annual_upfront,0.12,0.05,7311.94,2023-06,True,24,churned_at_renewal,,,,,,
CTR-0051,CUST-0040,Enterprise,EMEA,Analytics,flat_monthly,2023-06-01,,108153.0,3004.25,,,,,,0,False,0.0,False,,monthly,0.15,0.05,3004.25,2023-06,False,36,,,,,,,
CTR-0052,CUST-0041,Enterprise,North America,Core,per_seat_annual,2023-02-01,2024-02-01,105696.0,8808.0,50.0,176.16,,,,0,False,0.0,False,,annual_quarterly,0.15,0.05,8808.0,2023-02,True,36,renewed,,,,,,
CTR-0053,CUST-0042,SMB,North America,Analytics,flat_monthly,2023-04-01,,7419.78,412.21,,,,,,2,False,0.0,False,,monthly,0.1,0.05,412.21,2023-06,False,18,,,,,,,
CTR-0054,CUST-0043,SMB,APAC,DataPipeline,usage_hybrid,2023-08-01,,24562.98,1364.61,,,1364.61,0.4893,4148.0,0,False,0.0,False,,monthly,0.1,0.05,1364.61,2023-08,False,18,,,,,,,
CTR-0055,CUST-0044,SMB,APAC,Core,per_seat_annual,2023-08-01,2024-08-01,25823.16,2151.93,33.0,65.21,,,,0,False,0.0,False,,annual_upfront,0.1,0.05,2151.93,2023-08,True,18,,,,,2024-02-01,early_no_penalty,0.0
CTR-0056,CUST-0045,Mid-Market,North America,Analytics,flat_monthly,2023-03-01,2024-03-01,23443.68,1953.64,,,,,,0,False,0.0,False,,annual_quarterly,0.12,0.05,1953.64,2023-03,True,24,renewed,,,,,,
CTR-0057,CUST-0046,Enterprise,North America,Core,per_seat_annual,2024-02-01,2025-02-01,197520.96,16460.08,91.0,180.88,,,,0,True,14332.96,False,,annual_upfront,0.15,0.05,16460.08,2024-02,True,36,,,,,,,
CTR-0058,CUST-0047,Enterprise,North America,Analytics,flat_monthly,2023-09-01,2024-09-01,25499.88,2124.99,,,,,,0,False,0.0,False,,annual_upfront,0.15,0.05,2124.99,2023-09,True,36,churned_at_renewal,,,,,,
CTR-0059,CUST-0048,Mid-Market,North America,DataPipeline,usage_hybrid,2024-03-01,2025-03-01,21866.88,1822.24,,,1822.24,0.4039,2464.0,0,False,0.0,False,,annual_quarterly,0.12,0.05,1822.24,2024-03,True,24,,,,,,,
CTR-0060,CUST-0049,Mid-Market,APAC,Core,per_seat_annual,2023-07-01,,143146.8,5964.45,51.0,116.95,,,,0,False,0.0,False,,monthly,0.12,0.05,5964.45,2023-07,False,24,,,,,,,
CTR-0061,CUST-0050,SMB,EMEA,Analytics,flat_monthly,2023-05-01,,11373.3,631.85,,,,,,0,False,0.0,False,,monthly,0.1,0.05,631.85,2023-05,False,18,,,,,,,
